country_code,country_name,lens1_ratio,lens1_corridor,phase1_combined_corridor,lens4_gini,lens4_climate_green_jobs_k,lens4_climate_carbon_displacement_k,lens4_climate_energy_cost_asymmetry,lens4_geopolitical_composite,lens4_compounding_shock_count,lens4_buffering_a_protection,lens4_buffering_b_adjacency,lens4_buffering_c_mode1_vulnerability,lens4_jurisdictional_buffering_squeeze_flag,lens4_corridor_modifier,lens5_polycrisis_cluster_score,lens5_demographic_load,lens5_ai_labour_load,lens5_capability_floor_breach_proxy,lens5_climate_adaptation_capacity,lens5_climate_physical_vulnerability,lens5_climate_net_position,lens5_climate_bucket,lens5_composite_drag_score,corridor_under_scenario_1,corridor_under_scenario_2a,corridor_under_scenario_2b,corridor_under_scenario_3,corridor_under_scenario_4a,corridor_under_scenario_4b,corridor_under_scenario_5,cascade_corridor,phase2_fragility_class,class_iv_reason,regime_classification,regime_aggregate_pct,regime_per_capita_pct,notes
AT,Austria,2.312,2,2,28.4,52.81,-92.97,0.55,0.473,2,H,H,M,FALSE,0,0.475,0.4139,0.5203,FALSE,0.6056,0.517,0.0886,net_neutral,0.4651,2,2,1,2,2,3,3,3,II,,post_growth_empirical,1.2,0.471,
BA,Bosnia and Herzegovina,2.558,2,2,30.3,,,0.3,0.285,1,L,L,L,FALSE,0,0.4198,,0.4477,FALSE,,0.583,,data_gap,0.4325,2,2,1,2,3,3,3,3,II,,growth_baseline,2.945,,candidate-partial-coverage; demographic_load null; ai_load from L1 only; climate_shocks data gap; low_msc_salience_bucket
BE,Belgium,1.666,2,2,23.4,33.56,-15.54,0.55,0.297,2,H,H,H,TRUE,+1,0.4008,0.5375,0.5414,FALSE,0.5671,0.542,0.0251,net_neutral,0.49,1,1,1,2,2,2,3,3,II,,growth_baseline,1.682,1.061,low_msc_salience_bucket
BG,Bulgaria,2.76,2,2,38.4,25.74,-143.09,0.45,0.442,3,H,M,L,FALSE,0,0.533,0.745,0.4829,FALSE,0.5509,0.625,-0.0741,net_neutral,0.5847,2,2,1,2,3,3,3,3,II,,growth_baseline,2.727,3.844,
CH,Switzerland,2.434,2,2,31.5,48.46,-19.65,0.6,0.247,3,M,L,H,FALSE,0,0.393,0.15,0.5477,FALSE,0.1938,0.525,-0.3312,net_negative_capacity_side,0.3997,2,2,1,2,2,3,3,3,II,,post_growth_empirical,1.936,0.893,
CY,Cyprus,2.889,2,2,30.1,0.55,1.94,0.4,0.495,2,H,M,L,FALSE,0,0.496,0.43,0.5056,FALSE,0.4688,0.812,-0.3432,net_negative_vulnerability_side,0.5049,2,2,1,2,3,3,3,3,II,,growth_baseline,4.6,3.869,low_msc_salience_bucket
CZ,Czechia,2.808,2,2,23.7,35.71,-31.26,0.55,0.525,2,H,M,L,FALSE,0,0.6378,0.57,0.4915,FALSE,0.504,0.533,-0.029,net_neutral,0.5624,2,2,1,2,3,3,3,3,II,,growth_baseline,2.2,1.783,
DE,Germany,2.407,2,2,29.5,347.37,-177.96,0.8,0.521,4,H,H,H,TRUE,+1,0.5932,0.6428,0.5415,FALSE,0.9519,0.55,0.4019,net_positive,0.551,2,2,1,2,2,3,3,3,II,,post_growth_empirical,1.018,0.54,
DK,Denmark,1.049,1,1,28.6,27.56,-12.65,0.6,0.729,4,H,H,H,TRUE,+1,0.536,0.65,0.5244,FALSE,0.5551,0.35,0.2051,net_positive,0.5465,1,1,1,1,1,1,2,2,I,,growth_baseline,2.036,1.501,
EE,Estonia,2.902,2,2,30.8,5.74,-2.53,0.5,0.898,4,H,M,H,FALSE,+1,0.6274,0.71,0.5078,FALSE,0.5115,0.367,0.1445,net_neutral,0.5923,2,2,1,2,3,3,3,3,II,,growth_baseline,2.055,1.426,
EL,Greece,2.833,2,2,31.8,23.07,-258.33,0.55,0.396,3,H,M,L,FALSE,0,0.5358,0.745,0.4957,FALSE,0.4222,0.817,-0.3948,net_negative_vulnerability_side,0.6128,2,2,1,2,3,3,3,3,II,,secular_stagnation_warning,1.427,1.725,low_msc_salience_bucket
ES,Spain,2.755,2,2,31.2,219.09,-371.12,0.7,0.347,2,H,M,L,FALSE,0,0.5406,0.2823,0.4821,FALSE,0.8369,0.817,0.0199,net_neutral,0.4409,2,2,1,2,3,3,3,3,II,,growth_baseline,2.182,1.596,
FI,Finland,1.004,1,1,26.1,26.92,-7.51,0.75,0.549,4,H,H,H,TRUE,+1,0.5212,0.65,0.5018,FALSE,0.5538,0.342,0.2118,net_positive,0.5359,1,1,1,1,1,1,2,2,I,,post_growth_empirical,0.773,0.589,
FR,France,1.592,2,2,30,251.03,-110.65,0.75,0.234,4,H,H,H,TRUE,+1,0.4298,0.3758,0.5174,FALSE,0.9764,0.575,0.4014,net_positive,0.4159,1,1,1,2,2,2,3,3,II,,post_growth_empirical,1.227,0.812,
