country_code,country_name,lens1_ratio,phase1_corridor,phase3_corridor,corridor_shift,phase1_fragility_class,phase3_fragility_class,fragility_class_shift,squeeze_flag,post_recal_squeeze_alignment,scen_corr_s1,scen_corr_s2a,scen_corr_s2b,scen_corr_s3,scen_corr_s4a,scen_corr_s4b,scen_corr_s5,distinct_routine_new,distinct_all_new,class_iv_reason_new,regime_classification,notes
AT,Austria,2.312,2,2,0,II,II,no_change,False,no_shift,2,2,1,2,2,3,3,3,3,,post_growth_empirical,
BA,Bosnia and Herzegovina,2.558,2,2,0,II,II,no_change,False,no_shift,2,2,2,2,3,3,3,2,2,,growth_baseline,candidate-partial-coverage; demographic_load null; ai_load from L1 only; climate_shocks data gap; low_msc_salience_bucket
BE,Belgium,1.666,2,2,0,II,II,no_change,True,squeeze_flag_orthogonal,1,1,1,2,2,2,3,2,3,,growth_baseline,low_msc_salience_bucket
BG,Bulgaria,2.76,2,2,0,II,II,no_change,False,no_shift,2,2,2,2,3,3,3,2,2,,growth_baseline,
CH,Switzerland,2.434,2,2,0,II,II,no_change,False,no_shift,2,2,2,2,3,3,3,2,2,,post_growth_empirical,
CY,Cyprus,2.889,2,3,1,II,III,II->III,False,shifted_without_squeeze,2,2,2,3,3,3,3,2,2,,growth_baseline,low_msc_salience_bucket
CZ,Czechia,2.808,2,3,1,II,III,II->III,False,shifted_without_squeeze,2,2,2,3,3,3,3,2,2,,growth_baseline,
DE,Germany,2.407,2,2,0,II,II,no_change,True,squeeze_flag_orthogonal,2,2,2,2,3,3,3,2,2,,post_growth_empirical,
DK,Denmark,1.049,1,1,0,I,II,I->II,True,squeeze_flag_orthogonal,1,1,1,1,2,2,2,2,2,,growth_baseline,
EE,Estonia,2.902,2,3,1,II,III,II->III,False,shifted_without_squeeze,2,2,2,3,3,3,3,2,2,,growth_baseline,
EL,Greece,2.833,2,3,1,II,III,II->III,False,shifted_without_squeeze,2,2,2,3,3,3,3,2,2,,secular_stagnation_warning,low_msc_salience_bucket
ES,Spain,2.755,2,2,0,II,II,no_change,False,no_shift,2,2,2,2,3,3,3,2,2,,growth_baseline,
