country_code,country_name,lfs_year_2digit,n_oc2_codes,missing_oc2_codes,velocity,lens5c_klinger_weight_raw_2digit,lens5c_klinger_multiplier_2digit,lens5c_klinger_weighted_2digit,delta_vs_phase2_2digit,lens5c_klinger_weight_raw_1digit,lens5c_klinger_multiplier_1digit,lens5c_klinger_weighted_1digit,delta_vs_phase2_1digit,delta_vs_K1d,magnitude_amplification_K1d_to_K2,signal_amp_ratio_2d_over_1d,classification_2digit,classification_tight_2digit,lens5_composite_drag_old,lens5_composite_drag_new_1digit,lens5_composite_drag_new_2digit,delta_composite_vs_phase2_2digit,delta_composite_vs_K1d,capability_floor_breach_2digit,capability_floor_breach_1digit,derivation_method,notes
AT,Austria,2025,40,OC01;OC63;OC95,0.5203,0.28545,1.02399,0.53278,0.01248,0.26387,1.02117,0.53131,0.01101,0.00147,0.134,1.134,stable,tight-stable,0.4651,0.46785,0.46822,0.00312,0.00037,False,False,"ESCO-count-weighted Klinger 3-digit→2-digit; LFS lfsa_egai2d__custom_21241431, age=Y15-64, sex=T, year=2025, n_codes=40/43"," Suppressed OC2 codes: OC01, OC63, OC95"
BE,Belgium,2025,40,OC62;OC63;OC95,0.5414,0.29851,1.07081,0.57974,0.03834,0.27531,1.06544,0.57683,0.03543,0.00291,0.082,1.082,stable,tight-stable,0.49,0.49881,0.49958,0.00958,0.00077,True,True,"ESCO-count-weighted Klinger 3-digit→2-digit; LFS lfsa_egai2d__custom_21241431, age=Y15-64, sex=T, year=2025, n_codes=40/43"," Suppressed OC2 codes: OC62, OC63, OC95"
BG,Bulgaria,2025,42,OC63,0.4829,0.26858,0.96345,0.46525,-0.01765,0.24935,0.96498,0.46599,-0.01691,-0.00074,0.044,1.044,stable,tight-stable,0.5847,0.58046,0.58029,-0.00441,-0.00017,False,False,"ESCO-count-weighted Klinger 3-digit→2-digit; LFS lfsa_egai2d__custom_21241431, age=Y15-64, sex=T, year=2025, n_codes=42/43", Suppressed OC2 codes: OC63
CY,Cyprus,2025,39,OC62;OC63;OC82;OC95,0.5056,0.28388,1.01835,0.51488,0.00928,0.25956,1.00449,0.50787,0.00227,0.00701,3.088,4.088,stable,tight-stable,0.5049,0.50551,0.50722,0.00232,0.00171,False,False,"ESCO-count-weighted Klinger 3-digit→2-digit; LFS lfsa_egai2d__custom_21241431, age=Y15-64, sex=T, year=2025, n_codes=39/43"," Suppressed OC2 codes: OC62, OC63, OC82, OC95"
CZ,Czechia,2025,40,OC01;OC63;OC95,0.4915,0.26211,0.94025,0.46213,-0.02937,0.24335,0.94176,0.46288,-0.02862,-0.00075,0.026,1.026,stable,tight-stable,0.5624,0.55524,0.55506,-0.00734,-0.00018,False,False,"ESCO-count-weighted Klinger 3-digit→2-digit; LFS lfsa_egai2d__custom_21241431, age=Y15-64, sex=T, year=2025, n_codes=40/43"," Suppressed OC2 codes: OC01, OC63, OC95"
DE,Germany,2025,41,OC63;OC95,0.5415,0.28581,1.02526,0.55518,0.01368,0.26809,1.0375,0.56181,0.02031,-0.00663,0.326,0.674,stable,tight-stable,0.551,0.55611,0.55442,0.00342,-0.00169,True,True,"ESCO-count-weighted Klinger 3-digit→2-digit; LFS lfsa_egai2d__custom_21241431, age=Y15-64, sex=T, year=2025, n_codes=41/43"," Suppressed OC2 codes: OC63, OC95"
DK,Denmark,2025,40,OC62;OC63;OC95,0.5244,0.29649,1.06357,0.55774,0.03334,0.27021,1.04571,0.54837,0.02397,0.00937,0.391,1.391,stable,tight-stable,0.5465,0.55251,0.55483,0.00833,0.00232,True,False,"ESCO-count-weighted Klinger 3-digit→2-digit; LFS lfsa_egai2d__custom_21241431, age=Y15-64, sex=T, year=2025, n_codes=40/43"," Suppressed OC2 codes: OC62, OC63, OC95"
EE,Estonia,2025,36,OC01;OC02;OC03;OC11;OC62;OC63;OC95,0.5078,0.2696,0.96713,0.49111,-0.01669,0.24942,0.96525,0.49015,-0.01765,0.00096,0.054,0.946,stable,tight-stable,0.5923,0.58792,0.58813,-0.00417,0.00021,False,False,"ESCO-count-weighted Klinger 3-digit→2-digit; LFS lfsa_egai2d__custom_21241431, age=Y15-64, sex=T, year=2025, n_codes=36/43"," Suppressed OC2 codes: OC01, OC02, OC03, OC11, OC62, OC63, OC95"
EL,Greece,2025,41,OC63;OC95,0.4957,0.28329,1.01624,0.50375,0.00805,0.25471,0.98572,0.48862,-0.00708,0.01513,2.137,1.137,stable,tight-stable,0.6128,0.61101,0.61481,0.00201,0.0038,False,False,"ESCO-count-weighted Klinger 3-digit→2-digit; LFS lfsa_egai2d__custom_21241431, age=Y15-64, sex=T, year=2025, n_codes=41/43"," Suppressed OC2 codes: OC63, OC95"
ES,Spain,2025,42,OC63,0.4821,0.27403,0.983,0.47391,-0.00819,0.25212,0.9757,0.47038,-0.01172,0.00353,0.301,0.699,stable,tight-stable,0.4409,0.43797,0.43885,-0.00205,0.00088,False,False,"ESCO-count-weighted Klinger 3-digit→2-digit; LFS lfsa_egai2d__custom_21241431, age=Y15-64, sex=T, year=2025, n_codes=42/43", Suppressed OC2 codes: OC63
FI,Finland,2025,40,OC03;OC63;OC92,0.5018,0.27602,0.99013,0.49685,-0.00495,0.25807,0.99873,0.50116,-0.00064,-0.00431,6.735,7.735,stable,tight-stable,0.5359,0.53577,0.53466,-0.00124,-0.00111,False,False,"ESCO-count-weighted Klinger 3-digit→2-digit; LFS lfsa_egai2d__custom_21241431, age=Y15-64, sex=T, year=2025, n_codes=40/43"," Suppressed OC2 codes: OC03, OC63, OC92"
