country_code,country_name,regime,phase3_corridor,scen_s1,scen_s2a,scen_s2b,scen_s3,scen_s4a,scen_s4b,scen_s5,expected_corridor,expected_corridor_rounded,corridor_uncertainty_band,dominant_corridor,p_dominant,fragility_class,class_i_confidence,s2b_dependent,squeeze_flag,breach_flag,lens5_composite_drag_2digit,s5_cascade_priority,scale_tag,narrative_one_liner,derivation_method
AT,Austria,post_growth_empirical,2,2,2,1,2,2,3,3,1.83,2,0.775,2,0.57,II,n/a,True,False,False,0.4682,n/a,aggregate,Post-growth + S2b-dependent: optimism path runs through climate Zone-C wage premium; S4b cascade reaches C3.,P(S|regime=post_growth_empirical) Cooke-1991-style elicitation anchored on locked-spec lines 92-104 (per-scenario implications under post-growth regime); baseline corridor (b) relative-stable rule = max|scen-baseline|≤1 AND distinct≤2; Bundle J 1.20/2.80 thresholds; Bundle K-2 capability-floor-breach 2-digit (>0.55).
BA,Bosnia and Herzegovina,growth_baseline,2,2,2,2,2,3,3,3,2.25,2,1.035,2,0.75,II,n/a,False,False,False,0.4172,n/a,aggregate,Partial-coverage Class II preserved (no extreme readings); CEE growth-baseline.,P(S|regime=growth_baseline) Cooke-1991-style elicitation anchored on locked-spec lines 92-104 (per-scenario implications under post-growth regime); baseline corridor (b) relative-stable rule = max|scen-baseline|≤1 AND distinct≤2; Bundle J 1.20/2.80 thresholds; Bundle K-2 capability-floor-breach 2-digit (>0.55).
BE,Belgium,growth_baseline,2,1,1,1,2,2,2,3,1.55,2,0.675,2,0.55,I,medium,False,True,True,0.4996,high,both,Squeeze-flag Class I; Mode 1 vulnerability + capital-flight risk; both scales.,P(S|regime=growth_baseline) Cooke-1991-style elicitation anchored on locked-spec lines 92-104 (per-scenario implications under post-growth regime); baseline corridor (b) relative-stable rule = max|scen-baseline|≤1 AND distinct≤2; Bundle J 1.20/2.80 thresholds; Bundle K-2 capability-floor-breach 2-digit (>0.55).
BG,Bulgaria,growth_baseline,2,2,2,2,2,3,3,3,2.25,2,1.035,2,0.75,II,NA,False,False,False,0.5803,n/a,aggregate,Growth-baseline C2 reaching C3 only under S4a/S4b stress; aggregate.,"P(S|regime=growth_baseline) Cooke-1991-style elicitation anchored on locked-spec lines 92-104 (per-scenario implications under post-growth regime); baseline corridor (b) relative-stable rule = max|scen-baseline|≤1 AND distinct≤2; Bundle J 1.20/2.80 thresholds; Bundle K-2 capability-floor-breach 2-digit (>0.55). | Class reclassified I→II per Q1 asymmetric-guard lock 2026-04-29: C3 path under S4a/S4b violates ""no routine variant reaches C3"" guard (semantic Class I requirement)"
CH,Switzerland,post_growth_empirical,2,2,2,2,2,3,3,3,2.28,2,0.935,2,0.72,II,NA,False,False,True,0.4069,medium,aggregate,Post-growth + breach + Continental knowledge-economy; reaches C3 under S4a/S4b.,"P(S|regime=post_growth_empirical) Cooke-1991-style elicitation anchored on locked-spec lines 92-104 (per-scenario implications under post-growth regime); baseline corridor (b) relative-stable rule = max|scen-baseline|≤1 AND distinct≤2; Bundle J 1.20/2.80 thresholds; Bundle K-2 capability-floor-breach 2-digit (>0.55). | Class reclassified I→II per Q1 asymmetric-guard lock 2026-04-29: C3 path under S4a/S4b violates ""no routine variant reaches C3"" guard (semantic Class I requirement)"
CY,Cyprus,growth_baseline,3,2,2,2,3,3,3,3,2.55,3,1.125,3,0.55,III,n/a,False,False,False,0.5072,n/a,distributional,Class III by Muddle Through; distributional.,P(S|regime=growth_baseline) Cooke-1991-style elicitation anchored on locked-spec lines 92-104 (per-scenario implications under post-growth regime); baseline corridor (b) relative-stable rule = max|scen-baseline|≤1 AND distinct≤2; Bundle J 1.20/2.80 thresholds; Bundle K-2 capability-floor-breach 2-digit (>0.55).
CZ,Czechia,growth_baseline,3,2,2,2,3,3,3,3,2.55,3,1.125,3,0.55,III,n/a,False,False,False,0.5551,n/a,distributional,Class III by Muddle Through; CEE weak-ALMP regime.,P(S|regime=growth_baseline) Cooke-1991-style elicitation anchored on locked-spec lines 92-104 (per-scenario implications under post-growth regime); baseline corridor (b) relative-stable rule = max|scen-baseline|≤1 AND distinct≤2; Bundle J 1.20/2.80 thresholds; Bundle K-2 capability-floor-breach 2-digit (>0.55).
DE,Germany,post_growth_empirical,2,2,2,2,2,3,3,3,2.28,2,0.935,2,0.72,II,NA,False,True,True,0.5544,high,both,Post-growth + breach + squeeze flag; Europe's largest economy in S4 vulnerability.,"P(S|regime=post_growth_empirical) Cooke-1991-style elicitation anchored on locked-spec lines 92-104 (per-scenario implications under post-growth regime); baseline corridor (b) relative-stable rule = max|scen-baseline|≤1 AND distinct≤2; Bundle J 1.20/2.80 thresholds; Bundle K-2 capability-floor-breach 2-digit (>0.55). | Class reclassified I→II per Q1 asymmetric-guard lock 2026-04-29: C3 path under S4a/S4b violates ""no routine variant reaches C3"" guard (semantic Class I requirement)"
DK,Denmark,growth_baseline,1,1,1,1,1,2,2,2,1.25,1,0.585,1,0.75,I,high,False,True,True,0.5548,high,both,Nordic Class I + breach (DK marginal entry at 2-digit); Bundle K-2 effect.,P(S|regime=growth_baseline) Cooke-1991-style elicitation anchored on locked-spec lines 92-104 (per-scenario implications under post-growth regime); baseline corridor (b) relative-stable rule = max|scen-baseline|≤1 AND distinct≤2; Bundle J 1.20/2.80 thresholds; Bundle K-2 capability-floor-breach 2-digit (>0.55).
EE,Estonia,growth_baseline,3,2,2,2,3,3,3,3,2.55,3,1.125,3,0.55,III,n/a,False,False,False,0.5881,n/a,distributional,Class III; digital-state but caught by structural-bias adjustment.,P(S|regime=growth_baseline) Cooke-1991-style elicitation anchored on locked-spec lines 92-104 (per-scenario implications under post-growth regime); baseline corridor (b) relative-stable rule = max|scen-baseline|≤1 AND distinct≤2; Bundle J 1.20/2.80 thresholds; Bundle K-2 capability-floor-breach 2-digit (>0.55).
EL,Greece,secular_stagnation_warning,3,2,2,2,3,3,3,3,2.55,3,1.1,3,0.55,III,n/a,False,False,False,0.6148,n/a,distributional,Secular stagnation + Class III; both scales.,P(S|regime=secular_stagnation_warning) Cooke-1991-style elicitation anchored on locked-spec lines 92-104 (per-scenario implications under post-growth regime); baseline corridor (b) relative-stable rule = max|scen-baseline|≤1 AND distinct≤2; Bundle J 1.20/2.80 thresholds; Bundle K-2 capability-floor-breach 2-digit (>0.55).
ES,Spain,growth_baseline,2,2,2,2,2,3,3,3,2.25,2,1.035,2,0.75,II,NA,False,False,False,0.4389,n/a,aggregate,Growth-baseline C2 (just below C3 floor); reaches C3 under S4a/S4b.,"P(S|regime=growth_baseline) Cooke-1991-style elicitation anchored on locked-spec lines 92-104 (per-scenario implications under post-growth regime); baseline corridor (b) relative-stable rule = max|scen-baseline|≤1 AND distinct≤2; Bundle J 1.20/2.80 thresholds; Bundle K-2 capability-floor-breach 2-digit (>0.55). | Class reclassified I→II per Q1 asymmetric-guard lock 2026-04-29: C3 path under S4a/S4b violates ""no routine variant reaches C3"" guard (semantic Class I requirement)"
FI,Finland,post_growth_empirical,1,1,1,1,1,2,2,2,1.28,1,0.535,1,0.72,I,high,False,True,False,0.5347,n/a,both,Nordic Class I + post-growth; structural read different from growth-baseline.,P(S|regime=post_growth_empirical) Cooke-1991-style elicitation anchored on locked-spec lines 92-104 (per-scenario implications under post-growth regime); baseline corridor (b) relative-stable rule = max|scen-baseline|≤1 AND distinct≤2; Bundle J 1.20/2.80 thresholds; Bundle K-2 capability-floor-breach 2-digit (>0.55).
FR,France,post_growth_empirical,2,1,1,1,2,2,2,3,1.53,2,0.61,2,0.53,I,medium,False,True,False,0.419,n/a,both,Squeeze-flag Class I; post-growth; Continental Corporatist.,P(S|regime=post_growth_empirical) Cooke-1991-style elicitation anchored on locked-spec lines 92-104 (per-scenario implications under post-growth regime); baseline corridor (b) relative-stable rule = max|scen-baseline|≤1 AND distinct≤2; Bundle J 1.20/2.80 thresholds; Bundle K-2 capability-floor-breach 2-digit (>0.55).
